Contrast,Block,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,Feature
Block,-,1,2,True,True,-0.2808432885634546,65.0,two-sided,0.7797226130530925,1.0,bonf,0.14,-0.0354451597699929,max_pupil_size
Block,-,1,3,True,True,0.6029092100249163,65.0,two-sided,0.5486669875723708,1.0,bonf,0.161,0.07303032517876161,max_pupil_size
Block,-,1,4,True,True,-0.2919739323877466,65.0,two-sided,0.771236422685953,1.0,bonf,0.141,-0.044954664484393204,max_pupil_size
Block,-,1,5,True,True,0.8125860950700707,65.0,two-sided,0.4194216471187624,1.0,bonf,0.185,0.11414396119109978,max_pupil_size
Block,-,1,6,True,True,-1.1241251296669035,65.0,two-sided,0.2650943199406563,1.0,bonf,0.247,-0.1631309241672072,max_pupil_size
Block,-,1,7,True,True,-1.4696945933247139,65.0,two-sided,0.14646836119880655,1.0,bonf,0.375,-0.22503436466296275,max_pupil_size
Block,-,1,8,True,True,1.66699542522167,65.0,two-sided,0.10032712095950334,1.0,bonf,0.5,0.26335239371839114,max_pupil_size
Block,-,2,3,True,True,0.9366465977156971,65.0,two-sided,0.3524075084595306,1.0,bonf,0.205,0.10191598583017077,max_pupil_size
Block,-,2,4,True,True,-0.06749337462510589,65.0,two-sided,0.9463961211486196,1.0,bonf,0.135,-0.010038612633521583,max_pupil_size
Block,-,2,5,True,True,0.9173094429213187,65.0,two-sided,0.3623716584336406,1.0,bonf,0.202,0.13980053045610186,max_pupil_size
Block,-,2,6,True,True,-0.8060453536223584,65.0,two-sided,0.4231558803279508,1.0,bonf,0.184,-0.12478349417162929,max_pupil_size
Block,-,2,7,True,True,-1.3015962734086544,65.0,two-sided,0.19764876837195464,1.0,bonf,0.302,-0.17982906256010767,max_pupil_size
Block,-,2,8,True,True,1.90698469070811,65.0,two-sided,0.06094377344310977,1.0,bonf,0.741,0.27820102328133917,max_pupil_size
Block,-,3,4,True,True,-0.6922854546694426,65.0,two-sided,0.4912238857318444,1.0,bonf,0.17,-0.10903040297849759,max_pupil_size
Block,-,3,5,True,True,0.2912527631449253,65.0,two-sided,0.7717854188046862,1.0,bonf,0.141,0.040733043830969456,max_pupil_size
Block,-,3,6,True,True,-1.4089818323434546,65.0,two-sided,0.16360661338700355,1.0,bonf,0.346,-0.21878717751648893,max_pupil_size
Block,-,3,7,True,True,-1.8597300545129662,65.0,two-sided,0.06744996265454213,1.0,bonf,0.683,-0.2821692341079882,max_pupil_size
Block,-,3,8,True,True,1.3001756264537743,65.0,two-sided,0.19813226992375751,1.0,bonf,0.301,0.18031336514078786,max_pupil_size
Block,-,4,5,True,True,1.1407000517086434,65.0,two-sided,0.25818029124801395,1.0,bonf,0.251,0.14568752030964535,max_pupil_size
Block,-,4,6,True,True,-0.8070913715649364,65.0,two-sided,0.42255735444128106,1.0,bonf,0.184,-0.11273615081590622,max_pupil_size
Block,-,4,7,True,True,-1.131592446274558,65.0,two-sided,0.2619634234898595,1.0,bonf,0.248,-0.1653605953733059,max_pupil_size
Block,-,4,8,True,True,1.7953562640489418,65.0,two-sided,0.07724557736434375,1.0,bonf,0.613,0.279472927474231,max_pupil_size
Block,-,5,6,True,True,-1.8064145039375763,65.0,two-sided,0.07548301636626312,1.0,bonf,0.625,-0.2513975431543437,max_pupil_size
Block,-,5,7,True,True,-1.954539516623119,65.0,two-sided,0.05494128482894025,1.0,bonf,0.806,-0.3159707385176132,max_pupil_size
Block,-,5,8,True,True,0.8161186182977397,65.0,two-sided,0.41741313410966496,1.0,bonf,0.186,0.13551520887752116,max_pupil_size
Block,-,6,7,True,True,-0.3477544255447264,65.0,two-sided,0.7291482504962237,1.0,bonf,0.143,-0.04254630729998468,max_pupil_size
Block,-,6,8,True,True,2.7019622703036608,65.0,two-sided,0.008783185163722859,0.24592918458424004,bonf,3.778,0.376759330336008,max_pupil_size
Block,-,7,8,True,True,3.377249290051856,65.0,two-sided,0.0012403751801235122,0.03473050504345834,bonf,21.36,0.45334303889870997,max_pupil_size
Subject_Type,-,0,1,False,True,1.1570475039760162,37.86526575615054,two-sided,0.25450024462611304,,,0.467,0.30631868171866955,max_pupil_size
Block * Subject_Type,1,0,1,False,True,1.0254435144250693,39.009237495512465,two-sided,0.3114710510147012,1.0,bonf,0.414,0.268193782342431,max_pupil_size
Block * Subject_Type,2,0,1,False,True,0.6161666212787097,43.39148501435202,two-sided,0.5410036880006492,1.0,bonf,0.313,0.1544954477811903,max_pupil_size
Block * Subject_Type,3,0,1,False,True,0.6822124419317448,48.62623910185634,two-sided,0.49834163306619217,1.0,bonf,0.325,0.16367037187136993,max_pupil_size
Block * Subject_Type,4,0,1,False,True,-0.289758191616251,40.94410271758904,two-sided,0.773463587639314,1.0,bonf,0.277,-0.07432716295941823,max_pupil_size
Block * Subject_Type,5,0,1,False,True,0.29117611746705696,42.62689349934262,two-sided,0.7723288035436912,1.0,bonf,0.277,0.07351642561150616,max_pupil_size
Block * Subject_Type,6,0,1,False,True,0.9441000450092286,38.42534530213522,two-sided,0.35101729889703737,1.0,bonf,0.388,0.24844019748163473,max_pupil_size
Block * Subject_Type,7,0,1,False,True,1.1629790261594548,43.48014724005068,two-sided,0.25118115999555213,1.0,bonf,0.47,0.2913697783352834,max_pupil_size
Block * Subject_Type,8,0,1,False,True,2.267010322002851,63.190940766154995,two-sided,0.026820312011083883,0.21456249608867106,bonf,2.201,0.4517078294673511,max_pupil_size
Block,-,1,2,True,True,-0.39868995548877423,65.0,two-sided,0.6914283987549121,1.0,bonf,0.146,-0.056125592793461264,mean_pupil_size
Block,-,1,3,True,True,-0.20753577610925125,65.0,two-sided,0.8362403034500855,1.0,bonf,0.138,-0.032613904371100455,mean_pupil_size
Block,-,1,4,True,True,-0.24590078567358076,65.0,two-sided,0.8065338612289665,1.0,bonf,0.139,-0.04241450507343076,mean_pupil_size
Block,-,1,5,True,True,0.13308448752793325,65.0,two-sided,0.8945377230565303,1.0,bonf,0.136,0.019433518215206214,mean_pupil_size
Block,-,1,6,True,True,0.33051725878926314,65.0,two-sided,0.7420721702307889,1.0,bonf,0.142,0.047812919440301895,mean_pupil_size
Block,-,1,7,True,True,-0.6070468541239743,65.0,two-sided,0.545934546524319,1.0,bonf,0.161,-0.09596730286195258,mean_pupil_size
